Name,Length,Count,AnyExt,AnyDate,SamplePath
"DSC00079.JPG","5507632","2",".jpg","2012-02-10 15:56:32","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00079.JPG"
"DSC00084.JPG","3102380","2",".jpg","2012-02-10 15:56:32","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00084.JPG"
"DSC00085.JPG","5308483","2",".jpg","2012-02-10 15:56:32","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00085.JPG"
"DSC00086.JPG","5451636","2",".jpg","2012-02-10 15:56:32","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00086.JPG"
"DSC00087.JPG","3930885","2",".jpg","2012-02-10 15:56:32","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00087.JPG"
"DSC00093.JPG","4918292","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00093.JPG"
"DSC00096.JPG","3413392","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00096.JPG"
"DSC00099.JPG","2933876","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00099.JPG"
"DSC00102.JPG","2903516","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00102.JPG"
"DSC00103.JPG","3020044","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00103.JPG"
"DSC00105.JPG","3240591","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00105.JPG"
"DSC00104.JPG","3282097","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00104.JPG"
"DSC00112.JPG","3280579","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00112.JPG"
"DSC00113.JPG","3554044","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00113.JPG"
"DSC00115.JPG","3194827","2",".jpg","2012-02-10 15:56:34","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00115.JPG"
"DSC00131.JPG","2989517","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00131.JPG"
"DSC00132.JPG","2938546","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00132.JPG"
"DSC00133.JPG","2963524","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00133.JPG"
"DSC00135.JPG","3689036","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00135.JPG"
"DSC00139.JPG","4190052","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00139.JPG"
"DSC00134.JPG","3174922","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00134.JPG"
"DSC00137.JPG","3600300","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00137.JPG"
"DSC00141.JPG","3721073","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00141.JPG"
"DSC00142.JPG","4719282","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00142.JPG"
"DSC00143.JPG","4377782","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00143.JPG"
"DSC00145.JPG","4792123","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00145.JPG"
"DSC00147.JPG","1892505","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00147.JPG"
"DSC00148.JPG","2050483","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00148.JPG"
"DSC00149.JPG","3733373","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00149.JPG"
"DSC00152.JPG","2461294","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00152.JPG"
"DSC00154.JPG","4155335","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00154.JPG"
"DSC00155.JPG","3937933","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00155.JPG"
"DSC00161.JPG","2507787","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00161.JPG"
"DSC00160.JPG","2215314","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00160.JPG"
"DSC00162.JPG","2505974","2",".jpg","2012-02-10 15:56:36","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\crucero italia agosto 2005\DSC00162.JPG"
"DSC01318.JPG","1978127","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01318.JPG"
"DSC01320.JPG","1759126","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01320.JPG"
"DSC01322.JPG","2693181","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01322.JPG"
"DSC01338.JPG","2830177","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01338.JPG"
"DSC01339.JPG","2099734","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01339.JPG"
"DSC01340.JPG","2157754","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01340.JPG"
"DSC01345.JPG","2790747","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01345.JPG"
"DSC01341.JPG","2340667","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01341.JPG"
"DSC01349.JPG","2619822","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01349.JPG"
"DSC01353.JPG","3911799","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01353.JPG"
"DSC01354.JPG","3433133","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01354.JPG"
"DSC01355.JPG","4405592","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01355.JPG"
"DSC01356.JPG","2453204","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01356.JPG"
"DSC01357.JPG","2005550","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01357.JPG"
"DSC01359.JPG","3004302","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01359.JPG"
"DSC01358.JPG","3194079","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01358.JPG"
"DSC01360.JPG","2990714","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01360.JPG"
"DSC01361.JPG","3036943","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01361.JPG"
"DSC01362.JPG","3737308","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01362.JPG"
"DSC01363.JPG","3938219","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01363.JPG"
"DSC01364.JPG","4023845","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01364.JPG"
"DSC01366.JPG","2342719","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01366.JPG"
"DSC01365.JPG","3578800","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01365.JPG"
"DSC01367.JPG","1839479","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01367.JPG"
"DSC01368.JPG","2187481","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01368.JPG"
"DSC01370.JPG","2276782","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01370.JPG"
"DSC01369.JPG","2153730","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01369.JPG"
"DSC01371.JPG","1977571","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01371.JPG"
"DSC01374.JPG","2133529","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01374.JPG"
"DSC01375.JPG","2724072","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01375.JPG"
"DSC01377.JPG","1680634","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01377.JPG"
"DSC01373.JPG","2159031","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01373.JPG"
"DSC01372.JPG","2587058","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01372.JPG"
"DSC01378.JPG","1767447","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01378.JPG"
"DSC01380.JPG","2756935","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01380.JPG"
"DSC01383.JPG","2470430","2",".jpg","2012-02-10 15:56:38","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01383.JPG"
"DSC01385.JPG","1689360","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01385.JPG"
"DSC01386.JPG","1942907","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01386.JPG"
"DSC01387.JPG","1988281","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01387.JPG"
"DSC01388.JPG","2139757","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01388.JPG"
"DSC01391.JPG","1910146","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01391.JPG"
"DSC01390.JPG","1534241","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01390.JPG"
"DSC01389.JPG","1985384","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01389.JPG"
"DSC01394.JPG","1888378","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01394.JPG"
"DSC01393.JPG","1863849","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01393.JPG"
"DSC01397.JPG","1987543","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01397.JPG"
"DSC01396.JPG","1839584","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01396.JPG"
"DSC01395.JPG","1846806","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01395.JPG"
"DSC01398.JPG","2133968","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01398.JPG"
"DSC01401.JPG","2299973","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01401.JPG"
"DSC01402.JPG","1902471","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01402.JPG"
"DSC01407.JPG","1651012","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01407.JPG"
"DSC01412.JPG","2102751","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01412.JPG"
"DSC01411.JPG","2178744","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01411.JPG"
"DSC01410.JPG","3584343","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01410.JPG"
"DSC01413.JPG","2313952","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01413.JPG"
"DSC01417.JPG","2606502","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01417.JPG"
"DSC01416.JPG","2569320","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01416.JPG"
"DSC01414.JPG","2191975","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01414.JPG"
"DSC01415.JPG","2216355","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01415.JPG"
"DSC01418.JPG","2645678","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01418.JPG"
"DSC01419.JPG","3384716","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01419.JPG"
"DSC01421.JPG","2327160","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01421.JPG"
"DSC01424.JPG","2210324","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01424.JPG"
"DSC01420.JPG","3480540","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01420.JPG"
"DSC01425.JPG","2790776","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01425.JPG"
"DSC01422.JPG","3607835","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01422.JPG"
"DSC01428.JPG","2817094","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01428.JPG"
"DSC01429.JPG","2976071","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01429.JPG"
"DSC01427.JPG","2775571","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01427.JPG"
"DSC01430.JPG","3375886","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01430.JPG"
"DSC01426.JPG","2462241","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01426.JPG"
"DSC01432.JPG","2101734","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01432.JPG"
"DSC01431.JPG","2882698","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01431.JPG"
"DSC01433.JPG","3875050","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01433.JPG"
"DSC01434.JPG","2663264","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01434.JPG"
"DSC01435.JPG","2747697","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01435.JPG"
"DSC01436.JPG","3210515","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01436.JPG"
"DSC01439.JPG","1887915","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01439.JPG"
"DSC01441.JPG","2546328","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01441.JPG"
"DSC01442.JPG","2301116","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01442.JPG"
"DSC01440.JPG","1632014","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01440.JPG"
"DSC01443.JPG","2126356","2",".jpg","2012-02-10 15:56:40","H:\offload\_quarantine_from_I\FAMILIA\FOTOS\CRUCERO NORUEGA\DSC01443.JPG"
